SIGLA,nome curto,nome longo,definição,cat,short name,long name,definition
uf,Código da Unidade da Federação,Código da Unidade da Federação,Código utilizado pelo IBGE para identificação do estado.,categorical,Federation Unit Code,Federation Unit Code,Code used by the IBGE to identify the State.
ufn,Nome da Unidade da Federação,Nome da Unidade da Federação,Nome da Unidade da Federação.,categorical,Name of the Federation Unit,Name of the Federation Unit,Name of the unit of the Federation.
codmun6,Código do Município,Código do Município,Código utilizado pelo IBGE para identificação do município.,categorical,Code of the Municipality,Code of the Municipality,Code used by the IBGE to identify the municipality.
codmun7,Código do Município,Código do Município,Código utilizado pelo IBGE para identificação do município(com digito verificador).,categorical,Code of the Municipality,Code of the Municipality,Code used by IBGE for identification of the municipality (with type checker).
nomemun,Nome do Município,Nome do município,Nome do município.,categorical,Municipality name,Municipality name,Municipality name
espvida,Esperança de vida ao nascer ,Esperança de vida ao nascer,"Número médio de anos que as pessoas deverão viver a partir do nascimento, se permanecerem constantes ao longo da vida o nível e o padrão de mortalidade por idade prevalecentes no ano do Censo.",health,Life expectancy at birth,Life expectancy at birth,Average number of years that people are expected to live from birth if the level and age-specific mortality pattern prevailing in the year of the Census remain constant throughout life.
fectot,Taxa de fecundidade total,Taxa de fecundidade total,Número médio de filhos que uma mulher deverá ter ao terminar o período reprodutivo (15 a 49 anos de idade).,health,Total fertility rate,Total fertility rate,Average number of children a woman should have at the end of the reproductive period (15 to 49 years of age).
mort1,Mortalidade infantil,Mortalidade até um ano de idade,Número de crianças que não deverão sobreviver ao primeiro ano de vida em cada 1000 crianças nascidas vivas.,health,Infant mortality.,Mortality up to one year old,Number of children who should not survive the first year of life in every 1000 children born alive.
mort5,Mortalidade até 5 anos de idade,Mortalidade até cinco anos de idade,"Probabilidade de morrer entre o nascimento e a idade exata de 5 anos, por 1000 crianças nascidas vivas.",health,Mortality up to 5 years of age,Mortality up to five years of age,Probability of dying between birth and the exact age of 5 years per 1000 live births.
razdep,Razão de dependência,Percentual da população de menos de 15 anos e da população de 65 anos e mais em relação à população de 15 a 64 anos,Razão de dependência é medida pela razão entre o número de pessoas com 14 anos ou menos e de 65 anos ou mais de idade (população dependente) e o número de pessoas com idade de 15 a 64 anos (população potencialmente ativa) multiplicado por 100.,health,Reason for addiction,Percentage of the population aged less than 15 years and the population aged 65 and over in relation to the population aged 15-64,Dependency ratio is measured by the ratio between the number of people aged 14 years or less and 65 years or over (dependent population) and the number of people aged 15-64 years (potentially active population) multiplied by 100.
sobre40,Probabilidade de sobrevivência até 40 anos,Probabilidade de sobrevivência até 40 anos,"Probabilidade de uma criança recém-nascida viver até os 40 anos, se permanecerem constantes ao longo da vida o nível e o padrão de mortalidade por idade prevalecentes no ano do Censo.",health,Probability of survival up to 40 years,Probability of survival up to 40 years,Probability of a newborn child to live to age 40 if the level and age-specific mortality pattern prevailing in the Census year remain constant throughout life.
sobre60,Probabilidade de sobrevivência até 60 anos,Probabilidade de sobrevivência até 60 anos,"Probabilidade de uma criança recém-nascida viver até os 60 anos, se permanecerem constantes ao longo da vida o nível e o padrão de mortalidade por idade prevalecentes no ano do Censo.",health,Probability of survival up to 60 years,Probability of survival up to 60 years,Probability of a newborn child to live to age 60 if the level and age-standard of mortality prevailing in the Census year remain constant throughout life.
t_env,Taxa de envelhecimento,Taxa de envelhecimento,Razão entre a população de 65 anos ou mais de idade e a população total multiplicado por 100.,health,Aging rate,Aging rate,Ratio of the population aged 65 years or over to the total population multiplied by 100.
e_anosestudo,Expectativa de anos de estudo,Expectativa de anos de estudo aos 18 anos de idade,"Número médio de anos de estudo que uma geração de crianças que ingressa na escola deverá completar ao atingir 18 anos de idade, se os padrões atuais se mantiverem ao longo de sua vida escolar.",edu,Expectancy of years of study,Expectancy of years of study at 18 years of age,Average number of years of study that a generation of children entering school must complete at age 18 if current standards continue throughout their school life.
