 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Atend.Hanseníase por Município e Ano/Mês
Período:1998-2015
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"Total"
"110001 Alta Floresta D'Oeste";121;-;-;1056;124;319;48;21;2;14;17;15;19;25;23;25;23;18;12;16;16;15;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;14;1;6;8;118;-;29;5;2;2;2;2;14;4;4;4;4;6;14;10;3;2;4;4;3;3;2;2;2;1;3;6;2;2;8;4;7;-;5;4;4;6;7;11;7;6;13;17;8;4;10;7;8;6;4;-;-;-;8;9;-;-;10;7;7;8;51;36;-;11;5;5;-;-;-;24;6;38;-;10;44;44;31;35;-;43;40;38;21;25;22;25;24;21;41;-;3;10;8;10;9;7;7;7;7;-;-;-;-;-;3136
"110037 Alto Alegre dos Parecis";175;11;23;17;6;8;-;-;-;-;-;-;-;-;1;1;1;1;1;1;1;-;-;-;1;-;1;2;1;1;-;1;1;1;2;4;2;14;9;10;6;6;11;6;4;7;4;6;6;9;6;7;3;32;27;28;31;30;11;27;44;45;43;38;41;38;27;34;-;41;32;17;9;4;3;27;25;7;28;4;20;21;17;42;30;42;21;28;27;26;25;27;17;25;27;7;6;13;11;21;58;62;3;3;3;5;8;34;4;4;5;60;62;22;29;15;12;26;35;33;80;71;44;78;10;58;118;158;177;130;32;8;42;43;172;42;42;158;42;45;15;15;4;3;2;2;2;4;4;5;3613
"110040 Alto Paraíso";18;7;3;74;53;18;-;-;-;-;-;-;-;26;6;1;1;-;-;-;-;1;-;-;-;2;-;-;-;30;-;2;-;9;10;11;8;12;4;19;17;16;12;35;32;15;50;27;29;40;-;-;-;1;30;-;31;27;14;23;13;26;25;26;38;16;32;23;25;26;41;-;9;23;-;-;3;-;5;12;8;6;8;8;10;12;7;7;4;4;4;3;3;7;4;5;11;4;5;5;3;4;7;4;3;3;2;1;-;3;2;2;2;3;4;5;3;2;2;2;2;2;2;3;2;1;-;2;4;4;4;2;59;9;3;-;2;1;-;2;3;-;2;1;1;-;-;-;-;-;1350
"110034 Alvorada D'Oeste";12;4;-;7;1;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;8;2;3;2;-;-;-;3;2;1;-;-;-;-;4;7;2;4;1;-;-;1;-;2;4;4;5;2;2;2;-;1;1;1;2;1;-;1;2;2;2;4;4;1;1;1;1;1;1;1;1;-;1;1;1;1;1;1;-;-;-;-;1;1;-;-;1;1;1;1;1;1;1;1;1;1;-;1;1;1;1;1;1;2;1;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;3;-;-;162
"110002 Ariquemes";-;67;57;24;1428;-;-;-;-;-;-;9;-;1;-;-;-;60;-;-;-;-;-;-;-;-;243;249;57;209;234;245;300;230;1445;134;273;287;10;279;233;201;150;162;516;621;556;644;366;392;254;210;254;497;543;151;171;204;434;496;361;301;379;345;381;352;254;174;55;56;181;183;155;151;141;112;107;143;106;82;78;214;235;356;224;133;98;15;-;2;1;1;150;183;109;143;121;102;3;8;126;62;58;111;86;7;3;12;1;5;4;8;3;5;-;159;3;2;10;3;11;4;5;3;8;5;7;3;3;3;1;2;36;2;5;4;5;4;5;16;47;19;4;3;2;-;-;-;-;-;19966
"110045 Buritis";-;-;70;295;469;119;10;4;8;9;8;4;19;13;28;17;10;-;15;33;10;2;35;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;60;2;1;-;-;6;20;23;11;7;-;-;-;-;2;4;-;3;3;-;1;1;-;-;51;2;9;8;5;23;5;25;11;28;19;4;7;11;3;9;11;10;15;6;12;2;5;3;8;8;6;5;10;13;66;30;50;30;32;26;97;90;53;43;78;53;91;111;71;54;130;22;44;-;32;61;46;35;-;7;-;-;80;76;36;-;16;84;41;42;15;1;156;156;78;2;40;72;31;27;13;44;49;52;40;23;13;-;3;5;8;4217
"110003 Cabixi";20;-;3;23;52;86;8;5;4;4;3;3;3;2;1;1;1;1;1;1;1;1;2;1;1;1;2;1;11;3;2;1;3;-;1;1;1;1;1;1;1;3;2;1;-;2;3;3;2;5;-;4;-;6;7;6;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;4;7;5;6;6;7;6;5;6;7;5;6;1;5;4;3;1;1;1;1;1;-;-;-;1;-;-;1;1;3;3;2;2;3;3;4;3;3;-;-;2;3;1;1;36;1;1;1;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;490
"110060 Cacaulândia";8;-;6;-;6;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;3;2;-;-;-;1;1;-;-;-;-;-;1;1;1;1;2;-;2;1;2;-;-;-;1;2;3;1;2;-;1;1;1;2;-;-;4;6;5;-;-;-;3;-;-;5;3;3;3;1;-;-;-;1;3;3;5;-;5;-;1;-;1;3;2;1;4;5;6;3;4;3;3;3;3;2;3;1;1;-;-;-;-;-;-;-;-;2;1;-;-;-;-;1;2;-;1;1;1;1;-;-;-;-;1;1;3;1;1;1;1;-;1;-;-;-;-;-;-;-;199
"110004 Cacoal";48;67;82;66;112;185;2;19;13;10;19;29;14;-;16;-;7;5;1;-;1;-;4;2;5;4;1;4;12;10;33;1;2;6;6;3;4;-;5;3;19;6;1;1;2;2;5;4;3;3;1;6;6;18;4;5;10;8;10;14;24;27;16;33;61;9;19;17;39;24;25;27;32;21;24;35;28;21;20;19;15;6;17;14;17;14;9;10;14;28;-;14;26;23;19;14;15;14;18;15;14;11;10;9;10;11;16;15;19;13;19;19;22;24;28;14;25;32;39;29;33;27;30;22;23;25;15;29;19;25;28;22;22;41;79;31;33;39;45;37;50;56;72;30;-;42;32;60;39;21;3158
"110070 Campo Novo de Rondônia";18;20;129;31;6;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;11;32;20;6;10;17;11;3;4;-;1;-;1;3;6;1;2;3;3;-;-;-;-;-;-;3;9;4;1;4;-;-;-;-;-;-;-;-;-;4;1;-;-;-;2;2;-;2;3;3;3;1;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;60;3;4;17;-;1;25;1;1;1;1;-;1;1;3;1;1;118;2;1;3;2;2;4;5;2;-;2;-;-;-;-;-;-;-;660
