 Sistema de Informação de Atenção Básica - Cadastramento Familiar - Brasil
Nº Famílias por Município e Ano
Período:Dez/1998, Dez/1999, Dez/2000, Dez/2001, Dez/2002, Dez/2003, Dez/2004, Dez/2005, Dez/2006, Dez/2007, Dez/2008, Dez/2009, Dez/2010, Dez/2011, Dez/2012, Dez/2013, Dez/2014, Jun/2015
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"110001 Alta Floresta D'Oeste";2;3458;4668;5078;5078;5077;4925;5865;6518;6489;7093;6946;6836;6918;6699;6336;6201;6181
"110037 Alto Alegre dos Parecis";1224;2204;1911;1994;1976;1804;1766;1698;3623;3500;3682;3172;3292;3416;3448;3617;3343;3280
"110040 Alto Paraíso";-;546;2002;2348;2348;2021;932;1956;1994;2922;3195;3210;1480;2551;3175;3029;3438;-
"110034 Alvorada D'Oeste";3797;2763;2832;3924;3907;3463;4077;4141;4244;1642;4493;4693;1586;3122;4162;4242;4242;-
"110002 Ariquemes";676;9922;11790;11648;11654;9931;18830;14531;16509;17094;16936;16948;16528;16912;18109;19270;14661;6307
"110045 Buritis";-;2268;2615;3061;3732;5499;7580;7470;6459;7502;7712;7546;7112;7378;7385;9730;9084;-
"110003 Cabixi";-;-;1749;1839;1839;1382;1803;1859;1941;1929;2381;2344;2592;1855;1962;1945;1939;-
"110060 Cacaulândia";-;628;937;907;1421;1454;1508;910;1394;1436;1399;1460;1660;1662;1738;1817;1794;-
"110004 Cacoal";5291;8399;7756;15087;16120;16955;18587;19545;19681;15713;15678;16425;16021;16452;18042;19484;19741;19716
"110070 Campo Novo de Rondônia";-;537;891;2087;2178;2221;2382;2301;2293;3272;3277;2919;2851;2783;2917;2976;3043;3043
"110080 Candeias do Jamari";950;454;2082;2744;2106;1990;2378;2380;2523;2618;2471;2870;3702;4320;4305;4340;4410;4410
"110090 Castanheiras";-;-;1126;1221;1157;1157;1034;1080;1118;1111;1001;1067;1067;1068;1068;1106;1021;1038
"110005 Cerejeiras";1287;4533;4710;5056;5052;4890;3829;4671;4865;4804;4789;5179;5481;5209;5134;5061;5188;5188
"110092 Chupinguaia";1035;482;408;408;922;922;922;1664;1679;1642;1642;1642;1693;2242;2275;1307;2803;-
"110006 Colorado do Oeste";828;5010;5329;5278;5314;5314;5004;5065;5249;4974;4974;4949;4941;4787;4785;4785;4785;4785
"110007 Corumbiara";1;1139;1261;1261;1921;1870;2011;1891;2089;1452;2050;2366;2366;2366;1797;1821;645;-
"110008 Costa Marques";-;1062;1062;1769;1904;1904;1904;1909;1909;1894;-;-;-;-;-;2304;2444;2444
"110094 Cujubim";74;626;701;1135;1145;1141;1177;2172;3263;3625;3407;3798;4610;4688;4718;4705;4721;4721
"110009 Espigão D'Oeste";1;1348;4607;5452;5505;5544;5093;5038;5038;2691;4547;4497;4243;4152;6899;7652;7608;7608
"110100 Governador Jorge Teixeira";-;1017;1152;1233;1251;2525;2460;2460;2497;1174;1943;1360;1293;1628;2449;2093;1574;-
"110010 Guajará-Mirim";4189;7054;7135;7191;7191;6162;6161;6161;6161;6161;6161;12296;9011;7735;7735;-;8066;8066
"110110 Itapuã do Oeste";-;1409;1400;1665;1395;1395;1067;1067;1656;1836;1940;1989;2499;2079;1824;1793;-;-
"110011 Jaru";1;-;334;5216;5715;6211;5755;5797;6139;5790;7792;10919;16472;18632;18787;17471;14513;14513
